Aero Blue,C9FFE5,0,Enabled
Air Force Blue,5D8AA8,0,Enabled
Alizarin Crimson,E32636,0,Enabled
Amazon,3B7A57,0,Enabled
Android Green,A4C639,0,Enabled
Antique Brass,CD9575,0,Enabled
Apple Green,8DB600,0,Enabled
Aqua,00FFFF,0,Enabled
Azure,007FFF,0,Enabled
Baby Pink,F4C2C2,0,Enabled
Ball Blue,21ABCD,0,Enabled
Banana Yellow,FFE135,0,Enabled
Bright Lilac,D891EF,0,Enabled
Beige,F5F5DC,0,Enabled
Bisque,FFE4C4,0,Enabled
Black,000000,0,Enabled
Blond,FAF0BE,0,Enabled
Blue,0000FF,0,Enabled
Blue Gray,6699CC,0,Enabled
Blue Green,0D98BA,0,Enabled
Blush,DE5D83,0,Enabled
Bone,E3DAC9,0,Enabled
Bottle Green,006A4E,0,Enabled
Brass,B5A642,0,Enabled
Bronze,CD7F32,0,Enabled
Brown,A52A2A,0,Enabled
Bubbles,E7FEFF,0,Enabled
Camel,C19A6B,0,Enabled
Capri,00BFFF,0,Enabled
Cardinal,C41E3A,0,Enabled
Ceil,92A1CF,0,Enabled
Celadon,ACE1AF,0,Enabled
Celeste,B2FFFF,0,Enabled
Cerise,DE3163,0,Enabled
Champagne,F7E7CE,0,Enabled
Chartreuse,7FFF00,0,Enabled
Cherry,DE3163,0,Enabled
Chocolate,D2691E,0,Enabled
Cinnabar,E34234,0,Enabled
Claret,7F1734,0,Enabled
Coffee,6F4E37,0,Enabled
Cream,FFFDD0,0,Enabled
Cyan,00FFFF,0,Enabled
Dark Blue,00008B,0,Enabled
Dark Brown,654321,0,Enabled
Deep Cerise,DA3287,0,Enabled
Deer,BA8759,0,Enabled
Desert,C19A6B,0,Enabled
Desire,EA3C53,0,Enabled
Diamond,B9F2FF,0,Enabled
Feldgrau,4D5D53,0,Enabled
Flattery,6B4423,0,Enabled
Gainsboro,DCDCDC,0,Enabled
Glitter,E6E8FA,0,Enabled
Gold,FFD700,0,Enabled
Gray,808080,0,Enabled
Green,00FF00,0,Enabled
Ivory,FFFFF0,0,Enabled
Jade,00A86B,0,Enabled
Jelly Bean,DA614E,0,Enabled
Khaki,C3B091,0,Enabled
Lava,CF1020,0,Enabled
Lemon,FFF700,0,Enabled
Liberty,545AA7,0,Enabled
Light Blue,ADD8E6,0,Enabled
Lilac,C8A2C8,0,Enabled
Melon,FDBCB4,0,Enabled
Olive,808000,0,Enabled
Orange,FFA500,0,Enabled
Pink,FFC0CB,0,Enabled
Purple,800080,0,Enabled
Red,FF0000,0,Enabled
Ruby,E0115F,0,Enabled
Silver,C0C0C0,0,Enabled
Sky Blue,87CEEB,0,Enabled
Snow,FFFAFA,0,Enabled
Turquoise,40E0D0,0,Enabled
Violet,8F00FF,0,Enabled
Wheat,F5DEB3,0,Enabled
White,FFFFFF,0,Enabled
Yellow,FFFF00,0,Enabled
